1 input_1.asc: UAV Cruise and satellite targeting Mar 14 2025 13:55:26
  0  0 50
time            mach_c1         lonx_c1         latx_c1         alt_c1          
dvbe_c1         psivgx_c1       thtvgx_c1       SBEG1_c1        SBEG2_c1        
SBEG3_c1        VBEG1_c1        VBEG2_c1        VBEG3_c1        SBII1_c1        
SBII2_c1        SBII3_c1        thrust_c1       mach_t1         lonx_t1         
latx_t1         alt_t1          dvbe_t1         psivgx_t1       thtvgx_t1       
SBEG1_t1        SBEG2_t1        SBEG3_t1        VBEG1_t1        VBEG2_t1        
VBEG3_t1        SBII1_t1        SBII2_t1        SBII3_t1        mach_s1         
lonx_s1         latx_s1         alt_s1          dvbe_s1         psivgx_s1       
thtvgx_s1       SBEG1_s1        SBEG2_s1        SBEG3_s1        VBEG1_s1        
VBEG2_s1        VBEG3_s1        SBII1_s1        SBII2_s1        SBII3_s1        
-0.000868429    5.01106e+06     1.38751e+06     3.68169e+06     26.1336         
10.955          30.8155         500151          7699.64         45.5611         
0.122653        97795.6         98751.7         -150.661        5390.88         
5497.51         -16.4826        5.79207e+06     1.12904e+06     3.51991e+06     
18.5            0.679277        14.7423         35.4001         7000.65         
212.154         89.9525         0.020262        5.89599         3817            
-0.649073       0.176024        212.154         -0.075026       5.02594e+06     
1.32975e+06     3.69465e+06     1676.18         0.0294187       15.4017         
35.3012         100.014         9.99972         45.0026         0.00502083      
131.16          131.17          -0.0135404      7.07055         7.07119         
-0.000876275    5.01101e+06     1.38769e+06     3.68169e+06     26.1335         
10.9817         30.838          500159          7699.63         45.5769         
0.126006        100491          101501          -159.015        5389.35         
5498.99         -16.9332        5.79015e+06     1.13168e+06     3.52223e+06     
19              0.680435        14.7434         35.4001         7000.67         
212.516         89.9547         0.0026235       5.98203         3923.17         
-0.670473       0.168171        212.516         -0.00973084     5.02586e+06     
1.33003e+06     3.69465e+06     1676.17         0.0294187       15.4017         
35.3012         100.014         9.99972         45.0026         0.00506579      
134.695         134.705         -0.0139805      7.07055         7.07119         
-0.000884122    5.01096e+06     1.38788e+06     3.68169e+06     26.1335         
